_id,_rowOrder,ItemID,Brand,Department,Group,Name,FullPrice,DiscountPrice,Size,Quantity,SizeRangeType,Style,GenderID,Gender,SeasonID,Season,Barcode,SKU,StoreBarcode
Table1,0,20902158,12 STOREEZ,N/A,N/A,drawstring-waist straight-leg trousers ,605.0,605.0,XXS,1,12 Storeez Women Clothing Standard,114974,249,,83844203,SS24,2020902158171,114974,2111497450006
Table2,1,20901734,12 STOREEZ,N/A,N/A,Pyjama-style linen set,835.0,835.0,S,1,12 Storeez Women Clothing Standard,111437,249,,83844203,SS24,2020901734192,114371,2111437165007
Table3,2,20903099,12 STOREEZ,N/A,N/A,sleeveless V-neck fine-knit midi dress,835.0,835.0,L,1,12 Storeez Women Clothing Standard,121935,249,,83844203,SS24,2020903099213,121935,2112193567005
Table4,3,20903105,12 STOREEZ,N/A,N/A,embroidered cotton palazzo pants,605.0,605.0,S,1,12 Storeez Women Clothing Standard,115313,249,,58261828,AW23,2020903105198,115313,2111531365006
Table5,4,20901739,12 STOREEZ,N/A,N/A,Balloon organic cotton minidress,549.0,549.0,M,1,12 Storeez Women Clothing Standard,120933,249,,83844203,SS24,2020901739203,120933,2112093368009
Table6,5,20905208,12 STOREEZ,N/A,N/A,round-neck crop top ,275.0,275.0,XL,1,12 Storeez Women Clothing Standard,119605,249,,83844203,SS24,2020905208224,119605,2111960502003
Table7,6,20904616,12 STOREEZ,N/A,N/A,square-neck ribbed-knit top ,385.0,385.0,XS,1,12 Storeez Women Clothing Standard,120199,249,,83844203,SS24,2020904616181,120199,2112019973003
Table8,7,20904626,12 STOREEZ,N/A,N/A,round-neck merino tank top,385.0,385.0,XXS,1,12 Storeez Women Clothing Standard,119352,249,,83844203,SS24,2020904626173,119352,2111935275000
Table9,8,20904626,12 STOREEZ,N/A,N/A,round-neck merino tank top,385.0,385.0,XS,1,12 Storeez Women Clothing Standard,119352,249,,83844203,SS24,2020904626180,119352,2111935273006
Table10,9,20904626,12 STOREEZ,N/A,N/A,round-neck merino tank top,385.0,385.0,M,1,12 Storeez Women Clothing Standard,119352,249,,83844203,SS24,2020904626203,119352,2111935268002
Table11,10,20904634,12 STOREEZ,N/A,N/A,round-neck merino tank top ,385.0,385.0,M,1,12 Storeez Women Clothing Standard,119354,249,,83844203,SS24,2020904634208,119354,2111935468006
Table12,11,20904637,12 STOREEZ,N/A,N/A,scoop-neck sleeveless tank top ,385.0,385.0,XL,1,12 Storeez Women Clothing Standard,120198,249,,83844203,SS24,2020904637223,120198,2112019802006
Table13,12,20904637,12 STOREEZ,N/A,N/A,scoop-neck sleeveless tank top ,385.0,385.0,XS,1,12 Storeez Women Clothing Standard,120198,249,,83844203,SS24,2020904637186,120198,2112019873006
Table14,13,20905209,12 STOREEZ,N/A,N/A,round-neck cotton T-shirt ,235.0,235.0,S,1,12 Storeez Women Clothing Standard,120811,249,,83844203,SS24,2020905209191,120811,2112081171000
Table15,14,20905206,12 STOREEZ,N/A,N/A,V-neck cotton-blend cardigan,835.0,835.0,L,1,12 Storeez Women Clothing Standard,120206,249,,83844203,SS24,2020905206213,120206,2112020667007
Table16,15,20904643,12 STOREEZ,N/A,N/A,ribbed-knit hooded jumper ,835.0,835.0,XS,1,12 Storeez Women Clothing Standard,119254,249,,83844203,SS24,2020904643187,119254,2111925473003
Table17,16,20922055,12 STOREEZ,N/A,N/A,touch-strap suede sandals ,1055.0,1055.0,38,1,SHOES WOMEN'S IT,121212,249,,83844203,SS24,2020922055252,121212,4640153874767
Table18,17,20922058,12 STOREEZ,N/A,N/A,touch-strap leather sandals ,1055.0,1055.0,41,1,SHOES WOMEN'S IT,119980,249,,83844203,SS24,2020922058314,119980,4640153869381
Table19,18,20922061,12 STOREEZ,N/A,N/A,touch-strap flat sandals,889.0,889.0,35,1,SHOES WOMEN'S IT,114315,249,,83844203,SS24,2020922061192,114315,2111431535004
Table20,19,20922061,12 STOREEZ,N/A,N/A,touch-strap flat sandals,889.0,889.0,36,1,SHOES WOMEN'S IT,114315,249,,83844203,SS24,2020922061215,114315,2111431536001
Table21,20,20922060,12 STOREEZ,N/A,N/A,grained-leather flat sandals ,999.0,999.0,41,1,SHOES WOMEN'S IT,120854,249,,83844203,SS24,2020922060317,120854,4640153873319
Table22,21,20921870,12 STOREEZ,N/A,N/A,lace-up leather sneakers ,945.0,945.0,36,1,SHOES WOMEN'S IT,118899,249,,83844203,SS24,2020921870214,118899,4640153860791
Table23,22,20921871,12 STOREEZ,N/A,N/A,Terry flat sandals ,889.0,889.0,37,1,SHOES WOMEN'S IT,121229,249,,83844203,SS24,2020921871235,121229,4640153869169
Table24,23,20921871,12 STOREEZ,N/A,N/A,Terry flat sandals ,889.0,889.0,39,1,SHOES WOMEN'S IT,121229,249,,83844203,SS24,2020921871273,121229,4640153869206
Table25,24,20921871,12 STOREEZ,N/A,N/A,Terry flat sandals ,889.0,889.0,41,1,SHOES WOMEN'S IT,121229,249,,83844203,SS24,2020921871310,121229,4640153869244
Table26,25,20921915,12 STOREEZ,N/A,N/A,half-sleeved cotton T-Shirt ,255.0,255.0,L,1,12 Storeez Women Clothing Standard,121238,249,,83844203,SS24,2020921915212,121238,2112123867007
Table27,26,20920813,12 STOREEZ,N/A,N/A,round-neck cotton cardigan,725.0,725.0,M,1,12 Storeez Women Clothing Standard,120555,249,,83844203,SS24,2020920813205,120555,2112055568003
Table28,27,20920815,12 STOREEZ,N/A,N/A,sleeveless linen-cotton maxi dress,835.0,835.0,S,1,12 Storeez Women Clothing Standard,120537,249,,83844203,SS24,2020920815193,120537,2112053771009
Table29,28,20920811,12 STOREEZ,N/A,N/A,denim mini skirt ,495.0,495.0,27,1,12 Storeez Women Jeans Waist (in),119653,249,,83844203,SS24,2020920811201,119653,2111965306002
Table30,29,20921918,12 STOREEZ,N/A,N/A,half-sleeved cotton T-Shirt ,255.0,255.0,L,1,12 Storeez Women Clothing Standard,121239,249,,83844203,SS24,2020921918213,121239,2112123967004
Table31,30,20964596,12 STOREEZ,N/A,N/A,65mm square-toe leather mules ,835.0,835.0,37,1,SHOES WOMEN'S IT,119996,249,,83844203,SS24,2020964596232,119996,4640153870066
Table32,31,20964596,12 STOREEZ,N/A,N/A,65mm square-toe leather mules ,835.0,835.0,41,1,SHOES WOMEN'S IT,119996,249,,83844203,SS24,2020964596317,119996,4640153870103
Table33,32,20966178,12 STOREEZ,N/A,N/A,60mm stiletto sandals,835.0,835.0,35,1,SHOES WOMEN'S IT,121518,249,,83844203,SS24,2020966178191,121518,4640153877584
Table34,33,20966178,12 STOREEZ,N/A,N/A,60mm stiletto sandals,835.0,835.0,41,1,SHOES WOMEN'S IT,121518,249,,83844203,SS24,2020966178313,121518,4640153878000
Table35,34,20964597,12 STOREEZ,N/A,N/A,matte-finish sleeveless midi dress,945.0,945.0,XXS,1,12 Storeez Women Clothing Standard,120122,249,,83844203,SS24,2020964597178,120122,2112012275005
Table36,35,20964597,12 STOREEZ,N/A,N/A,matte-finish sleeveless midi dress,945.0,945.0,S,1,12 Storeez Women Clothing Standard,120122,249,,83844203,SS24,2020964597192,120122,2112012271007
Table37,36,20964594,12 STOREEZ,N/A,N/A,grained-texture leather mules ,769.0,769.0,37,1,SHOES WOMEN'S IT,119979,249,,83844203,SS24,2020964594238,119979,4640153873906
Table38,37,20964594,12 STOREEZ,N/A,N/A,grained-texture leather mules ,769.0,769.0,35,1,SHOES WOMEN'S IT,119979,249,,83844203,SS24,2020964594191,119979,4640153873821
Table39,38,20964594,12 STOREEZ,N/A,N/A,grained-texture leather mules ,769.0,769.0,36,1,SHOES WOMEN'S IT,119979,249,,83844203,SS24,2020964594214,119979,4640153873869
Table40,39,20966196,12 STOREEZ,N/A,N/A,sleeveless crepe maxi dress,1319.0,1319.0,L,1,12 Storeez Women Clothing Standard,119419,249,,83844203,SS24,2020966196218,119419,2111941967005
Table41,40,20964599,12 STOREEZ,N/A,N/A,square-toe leather loafers ,1055.0,1055.0,35,1,SHOES WOMEN'S IT,119977,249,,83844203,SS24,2020964599196,119977,4640153873685
Table42,41,20964599,12 STOREEZ,N/A,N/A,square-toe leather loafers ,1055.0,1055.0,41,1,SHOES WOMEN'S IT,119977,249,,83844203,SS24,2020964599318,119977,4640153873807
Table43,42,20964592,12 STOREEZ,N/A,N/A,elasticated-waist wide-leg trousers,1099.0,1099.0,XS,1,12 Storeez Women Clothing Standard,119239,249,,83844203,SS24,2020964592180,119239,2111923973000
Table44,43,20966181,12 STOREEZ,N/A,N/A,sleeveless fine-ribbed long dress,725.0,725.0,L,1,12 Storeez Women Clothing Standard,120538,249,,83844203,SS24,2020966181214,120538,2112053867009
Table45,44,20964573,12 STOREEZ,N/A,N/A,square-toe leather slippers ,769.0,769.0,35,1,SHOES WOMEN'S IT,119978,249,,83844203,SS24,2020964573196,119978,4640153873814
Table46,45,20964573,12 STOREEZ,N/A,N/A,square-toe leather slippers ,769.0,769.0,36,1,SHOES WOMEN'S IT,119978,249,,83844203,SS24,2020964573219,119978,4640153873852
Table47,46,20964573,12 STOREEZ,N/A,N/A,square-toe leather slippers ,769.0,769.0,37,1,SHOES WOMEN'S IT,119978,249,,83844203,SS24,2020964573233,119978,4640153873890
Table48,47,20965358,12 STOREEZ,N/A,N/A,ribbed straight-leg trousers,889.0,889.0,L,1,12 Storeez Women Clothing Standard,120545,249,,83844203,SS24,2020965358211,120545,2112054567007
Table49,48,20966190,12 STOREEZ,N/A,N/A,strappy leather flat sandals,725.0,725.0,39,1,SHOES WOMEN'S IT,121515,249,,83844203,SS24,2020966190278,121515,4640153877836
Table50,49,20975363,12 STOREEZ,N/A,N/A,elasticated fine-knit wide-leg trousers,889.0,889.0,XS,1,12 Storeez Women Clothing Standard,120583,249,,83844203,SS24,2020975363182,120583,2112058373000
Table51,50,20973881,12 STOREEZ,N/A,N/A,pleated linen straight-leg trousers,835.0,835.0,XS,1,12 Storeez Women Clothing Standard,121014,249,,83844203,SS24,2020973881183,121014,2112101473008
Table52,51,20973863,12 STOREEZ,N/A,N/A,flat leather sandals,725.0,725.0,36,1,SHOES WOMEN'S IT,121516,249,,83844203,SS24,2020973863219,121516,4640153877638
Table53,52,20973863,12 STOREEZ,N/A,N/A,flat leather sandals,725.0,725.0,39,1,SHOES WOMEN'S IT,121516,249,,83844203,SS24,2020973863271,121516,4640153877843
Table54,53,20973863,12 STOREEZ,N/A,N/A,flat leather sandals,725.0,725.0,40,1,SHOES WOMEN'S IT,121516,249,,83844203,SS24,2020973863295,121516,4640153877911
Table55,54,20973885,12 STOREEZ,N/A,N/A,leather square-toe sandals,835.0,835.0,37,1,SHOES WOMEN'S IT,121519,249,,83844203,SS24,2020973885235,121519,4640153877737
Table56,55,20973885,12 STOREEZ,N/A,N/A,leather square-toe sandals,835.0,835.0,38,1,SHOES WOMEN'S IT,121519,249,,83844203,SS24,2020973885259,121519,4640153877805
Table57,56,20973854,12 STOREEZ,N/A,N/A,sleeveless maxi slip dress,945.0,945.0,XXS,1,12 Storeez Women Clothing Standard,120936,249,,83844203,SS24,2020973854170,120936,2112093675008
Table58,57,20973878,12 STOREEZ,N/A,N/A,side-stripe linen wide-leg trousers,835.0,835.0,L,1,12 Storeez Women Clothing Standard,120954,249,,83844203,SS24,2020973878213,120954,2112095467007
Table59,58,20973861,12 STOREEZ,N/A,N/A,60mm leather open-toe sandals,835.0,835.0,35,1,SHOES WOMEN'S IT,121517,249,,83844203,SS24,2020973861192,121517,4640153877577
Table60,59,20973861,12 STOREEZ,N/A,N/A,60mm leather open-toe sandals,835.0,835.0,38,1,SHOES WOMEN'S IT,121517,249,,83844203,SS24,2020973861253,121517,4640153877782
Table61,60,20973861,12 STOREEZ,N/A,N/A,60mm leather open-toe sandals,835.0,835.0,39,1,SHOES WOMEN'S IT,121517,249,,83844203,SS24,2020973861277,121517,4640153877850
Table62,61,20973861,12 STOREEZ,N/A,N/A,60mm leather open-toe sandals,835.0,835.0,40,1,SHOES WOMEN'S IT,121517,249,,83844203,SS24,2020973861291,121517,4640153877928
Table63,62,20973861,12 STOREEZ,N/A,N/A,60mm leather open-toe sandals,835.0,835.0,41,1,SHOES WOMEN'S IT,121517,249,,83844203,SS24,2020973861314,121517,4640153877997
Table64,63,20975354,12 STOREEZ,N/A,N/A,belted striped linen shirtdress,835.0,835.0,XS,1,12 Storeez Women Clothing Standard,121071,249,,83844203,SS24,2020975354180,121071,2112107173001
Table65,64,20975354,12 STOREEZ,N/A,N/A,belted striped linen shirtdress,835.0,835.0,M,1,12 Storeez Women Clothing Standard,121071,249,,83844203,SS24,2020975354203,121071,2112107168007
Table66,65,20975364,12 STOREEZ,N/A,N/A,crew-neck cotton T-shirt,255.0,255.0,XXS,1,12 Storeez Women Clothing Standard,121478,249,,83844203,SS24,2020975364172,121478,2112147875002
Table67,66,20973865,12 STOREEZ,N/A,N/A,matte linen double-breasted blazer,999.0,999.0,L,1,12 Storeez Women Clothing Standard,120695,249,,83844203,SS24,2020973865213,120695,2112069567009
Table68,67,20973866,12 STOREEZ,N/A,N/A,high-waisted maxi flared skirt,1539.0,1539.0,XS,1,12 Storeez Women Clothing Standard,120669,249,,83844203,SS24,2020973866180,120669,2112066973001
Table69,68,20973870,12 STOREEZ,N/A,N/A,double-strap 30mm leather sandals,835.0,835.0,35,1,SHOES WOMEN'S IT,121520,249,,83844203,SS24,2020973870194,121520,4640153877607
Table70,69,20973870,12 STOREEZ,N/A,N/A,double-strap 30mm leather sandals,835.0,835.0,40,1,SHOES WOMEN'S IT,121520,249,,83844203,SS24,2020973870293,121520,4640153877959
Table71,70,20973871,12 STOREEZ,N/A,N/A,V-neck buttoned knitted cardigan,835.0,835.0,M,1,12 Storeez Women Clothing Standard,120575,249,,83844203,SS24,2020973871207,120575,2112057568001
Table72,71,20973869,12 STOREEZ,N/A,N/A,V-neck buttoned knitted cardigan,835.0,835.0,M,1,12 Storeez Women Clothing Standard,120576,249,,83844203,SS24,2020973869204,120576,2112057668008
Table73,72,20973874,12 STOREEZ,N/A,N/A,stripe-detail linen wide-leg trousers,835.0,835.0,XS,1,12 Storeez Women Clothing Standard,120955,249,,83844203,SS24,2020973874185,120955,2112095573005
Table74,73,20973874,12 STOREEZ,N/A,N/A,stripe-detail linen wide-leg trousers,835.0,835.0,S,1,12 Storeez Women Clothing Standard,120955,249,,83844203,SS24,2020973874192,120955,2112095571001
Table75,74,20973866,12 STOREEZ,N/A,N/A,high-waisted maxi flared skirt,1539.0,1539.0,M,1,12 Storeez Women Clothing Standard,120669,249,,83844203,SS24,2020973866203,120669,2112066968007
Table76,75,20921871,12 STOREEZ,N/A,N/A,Terry flat sandals ,889.0,889.0,38,1,SHOES WOMEN'S IT,121229,249,,83844203,SS24,2020921871259,121229,4640153869183
Table77,76,20922060,12 STOREEZ,N/A,N/A,grained-leather flat sandals ,999.0,999.0,35,1,SHOES WOMEN'S IT,120854,249,,83844203,SS24,2020922060195,120854,4640153873326
Table78,77,20921918,12 STOREEZ,N/A,N/A,half-sleeved cotton T-Shirt ,255.0,255.0,XS,1,12 Storeez Women Clothing Standard,121239,249,,83844203,SS24,2020921918183,121239,2112123973005
Table79,78,20920814,12 STOREEZ,N/A,N/A,knitted mini skirt ,495.0,495.0,S,1,12 Storeez Women Clothing Standard,121551,249,,83844203,SS24,2020920814196,121551,2112155171004
Table80,79,20973870,12 STOREEZ,N/A,N/A,double-strap 30mm leather sandals,835.0,835.0,37,1,SHOES WOMEN'S IT,121520,249,,83844203,SS24,2020973870231,121520,4640153877744
Table81,80,20973870,12 STOREEZ,N/A,N/A,double-strap 30mm leather sandals,835.0,835.0,41,1,SHOES WOMEN'S IT,121520,249,,83844203,SS24,2020973870316,121520,4640153878024
Table82,81,21248456,12 STOREEZ,N/A,N/A,rectangle leather belt,329.0,329.0,80,1,BELTS WOMEN'S CM,114797,249,,83844203,SS24,2021248456211,114797,2111479776001
